Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
5,SHA-3-256,0.0,8501,True,1.692124605178833,4.9375,0.0,0.00011768773031856459
5,SHA-3-512,0.00852823257446289,8504,True,1.6577239036560059,5.90625,0.0,0.00011765948535072137
5,MD5,0.0,8501,True,1.648674726486206,4.0,0.0,0.00011767474699929257
6,SHA-256,0.0,8501,True,1.614302158355713,4.8125,0.0,0.00011768599904379987
6,SHA-512,0.0,8502,True,1.6058986186981201,5.71875,0.0,0.00011768470062115317
6,SHA-3-256,0.001119375228881836,8502,True,1.622753620147705,4.9375,0.0,0.00011767386604638146
6,SHA-3-512,0.0,8502,True,1.6121788024902344,5.90625,0.0,0.00011768729749509804
6,MD5,0.0,8503,True,1.610408067703247,4.0,0.0,0.00011764705882352803
7,SHA-256,0.0,8500,True,1.596384048461914,4.8125,0.0,0.00011769985066831308
7,SHA-512,0.0,8504,True,1.593580722808838,5.71875,0.0,0.00011765700776168435
7,SHA-3-256,0.0,8501,True,0.6609265804290771,4.9375,0.0,0.00011768773031856459
7,SHA-3-512,0.0,8502,True,1.9063661098480225,5.90625,0.0,0.00011768729749509804
7,MD5,0.0,8503,True,1.6330289840698242,4.0,0.0,0.00011764705882352803
8,SHA-256,0.0,8502,True,1.5971243381500244,4.8125,0.0,0.00011767215067918756
8,SHA-512,0.01565408706665039,8500,True,1.6210215091705322,5.71875,0.0,0.00011771218961386632
8,SHA-3-256,0.0,8503,True,2.0722815990448,4.9375,0.0,0.00011766003603338465
8,SHA-3-512,0.0,8502,True,1.5639886856079102,5.90625,0.0,0.00011768729749509804
8,MD5,0.0,8500,True,1.6408145427703857,4.0,0.0,0.00011768859597504864
9,SHA-256,0.0,8502,True,1.603515386581421,4.8125,0.0,0.00011767215067918756
9,SHA-512,0.0,8500,True,1.5959746837615967,5.71875,0.0,0.00011771240651979453
9,SHA-3-256,0.0156400203704834,8501,True,1.6664621829986572,4.9375,0.0,0.00011768751369839595
9,SHA-3-512,0.0,8500,True,1.6172540187835693,5.90625,0.0,0.00011771500461663395
9,MD5,0.0,8501,True,1.6119184494018555,4.0,0.0,0.00011767474699929257
10,SHA-256,0.0,8502,True,1.6283576488494873,4.8125,0.0,0.00011767215067918756
10,SHA-512,0.0,8503,True,1.6157591342926025,5.71875,0.0,0.00011767085256209757
10,SHA-3-256,0.0,8501,True,1.6127245426177979,4.9375,0.0,0.00011768773031856459
10,SHA-3-512,0.0,8504,True,1.6106288433074951,5.90625,0.0,0.00011765960341359786
10,MD5,0.0,8502,True,1.6326513290405273,4.0,0.0,0.00011766090128250244
11,SHA-256,0.0,8502,True,1.5959901809692383,4.8125,0.0,0.00011767215067918756
11,SHA-512,0.0,8504,True,1.6585180759429932,5.71875,0.0,0.00011765700776168435
11,SHA-3-256,0.0,8502,True,1.6951103210449219,4.9375,0.0,0.0001176738815465276
11,SHA-3-512,0.0,8503,True,1.610332727432251,5.90625,0.0,0.0001176734488249189
11,MD5,0.0,8501,True,1.6094934940338135,4.0,0.0,0.00011767474699929257
12,SHA-256,0.0,8502,True,1.6300837993621826,4.8125,0.0,0.00011767215067918756
12,SHA-512,0.0,8503,True,1.616182804107666,5.71875,0.0,0.00011767085256209757
12,SHA-3-256,0.0,8500,True,1.6186671257019043,4.9375,0.0,0.00011770158235064635
12,SHA-3-512,0.0,8501,True,1.610950231552124,5.90625,0.0,0.00011770114942528596
12,MD5,0.015612125396728516,8503,True,1.6274197101593018,4.0,0.0,0.00011764684273914434
13,SHA-256,0.0,8502,True,1.6177613735198975,4.8125,0.0,0.00011767215067918756
13,SHA-512,0.0,8500,True,1.647791862487793,5.71875,0.0,0.00011771240651979453
13,SHA-3-256,0.0,8503,True,1.6099574565887451,4.9375,0.0,0.00011766003603338465
13,SHA-3-512,0.0,8503,True,1.6029846668243408,5.90625,0.0,0.0001176734488249189
13,MD5,0.0,8501,True,1.6152124404907227,4.0,0.0,0.00011767474699929257
14,SHA-256,0.0,8502,True,1.644690990447998,4.8125,0.0,0.00011767215067918756
14,SHA-512,0.0,8501,True,1.6048784255981445,5.71875,0.0,0.00011769855194000178
14,SHA-3-256,0.0,8501,True,1.618290662765503,4.9375,0.0,0.00011768773031856459
14,SHA-3-512,0.00801849365234375,8503,True,1.6441307067871094,5.90625,0.0,0.00011767333779261686
14,MD5,0.0,8502,True,1.7715067863464355,4.0,0.0,0.00011766090128250244
15,SHA-256,0.0,8502,True,1.6662437915802002,4.8125,0.0,0.00011767215067918756
15,SHA-512,0.0,8501,True,1.6333701610565186,5.71875,0.0,0.00011769855194000178
15,SHA-3-256,0.0,8501,True,1.7284622192382812,4.9375,0.0,0.00011768773031856459
15,SHA-3-512,0.0,8500,True,1.6101298332214355,5.90625,0.0,0.00011771500461663395
15,MD5,0.0,8500,True,0.6412086486816406,4.0,0.0,0.00011768859597504864
16,SHA-256,0.0,8501,True,1.7637286186218262,4.8125,0.0,0.00011768599904379987
16,SHA-512,0.0002510547637939453,8501,True,1.6382031440734863,5.71875,0.0,0.00011769854846215301
16,SHA-3-256,0.0,8501,True,1.6272015571594238,4.9375,0.0,0.00011768773031856459
16,SHA-3-512,0.0,8501,True,1.616044282913208,5.90625,0.0,0.00011770114942528596
16,MD5,0.0,8503,True,1.6752469539642334,4.0,0.0,0.00011764705882352803
17,SHA-256,0.0,8502,True,1.576859712600708,4.8125,0.0,0.00011767215067918756
17,SHA-512,0.0,8501,True,1.6011443138122559,5.71875,0.0,0.00011769855194000178
17,SHA-3-256,0.0,8503,True,1.6343538761138916,4.9375,0.0,0.00011766003603338465
17,SHA-3-512,0.0,8501,True,1.4935333728790283,5.90625,0.0,0.00011770114942528596
17,MD5,0.0,8502,True,1.6132502555847168,4.0,0.0,0.00011766090128250244
18,SHA-256,0.0,8502,True,1.6250414848327637,4.8125,0.0,0.00011767215067918756
18,SHA-512,0.0,8503,True,1.6117615699768066,5.71875,0.0,0.00011767085256209757
18,SHA-3-256,0.0,8500,True,1.6008577346801758,4.9375,0.0,0.00011770158235064635
18,SHA-3-512,0.0,8501,True,1.5506644248962402,5.90625,0.0,0.00011770114942528596
18,MD5,0.0,8503,True,1.5834100246429443,4.0,0.0,0.00011764705882352803
19,SHA-256,0.0004937648773193359,8501,True,1.6810534000396729,4.8125,0.0,0.0001176859922051595
19,SHA-512,0.0,8502,True,1.6101369857788086,5.71875,0.0,0.00011768470062115317
19,SHA-3-256,0.0,8503,True,1.63796067237854,4.9375,0.0,0.00011766003603338465
19,SHA-3-512,0.0,8500,True,1.6109905242919922,5.90625,0.0,0.00011771500461663395
19,MD5,0.0,8503,True,1.1213464736938477,4.0,0.0,0.00011764705882352803
20,SHA-256,0.0,8502,True,1.5323235988616943,4.8125,0.0,0.00011767215067918756
20,SHA-512,0.0,8501,True,1.626584768295288,5.71875,0.0,0.00011769855194000178
20,SHA-3-256,0.0,8504,True,1.5740430355072021,4.9375,0.0,0.00011764619377798554
20,SHA-3-512,0.015630483627319336,8500,True,1.6534500122070312,5.90625,0.0,0.00011771478802819819
20,MD5,0.0,8504,True,1.5694570541381836,4.0,0.0,0.00011763321962121965
21,SHA-256,0.0,8503,True,1.6009182929992676,4.8125,0.0,0.00011765830557332548
21,SHA-512,0.0006501674652099609,8501,True,1.6194002628326416,5.71875,0.0,0.00011769854293326564
21,SHA-3-256,0.0,8500,True,1.6368768215179443,4.9375,0.0,0.00011770158235064635
21,SHA-3-512,0.0,8502,True,1.7568492889404297,5.90625,0.0,0.00011768729749509804
21,MD5,0.0,8503,True,1.6091690063476562,4.0,0.0,0.00011764705882352803
22,SHA-256,0.0,8502,True,1.58962082862854,4.8125,0.0,0.00011767215067918756
22,SHA-512,0.0,8503,True,1.5919482707977295,5.71875,0.0,0.00011767085256209757
22,SHA-3-256,0.0,8502,True,1.6544432640075684,4.9375,0.0,0.0001176738815465276
22,SHA-3-512,0.0,8501,True,1.6036691665649414,5.90625,0.0,0.00011770114942528596
22,MD5,0.0,8501,True,1.5328419208526611,4.0,0.0,0.00011767474699929257
23,SHA-256,0.0,8503,True,1.6256763935089111,4.8125,0.0,0.00011765830557332548
23,SHA-512,0.008000373840332031,8502,True,1.6090514659881592,5.71875,0.0,0.00011768458981856985
23,SHA-3-256,0.0,8501,True,1.6687021255493164,4.9375,0.0,0.00011768773031856459
23,SHA-3-512,0.0,8501,True,1.5110857486724854,5.90625,0.0,0.00011770114942528596
23,MD5,0.0,8500,True,1.5981950759887695,4.0,0.0,0.00011768859597504864
24,SHA-256,0.0,8501,True,1.587364673614502,4.8125,0.0,0.00011768599904379987
24,SHA-512,0.0,8502,True,1.5887417793273926,5.71875,0.0,0.00011768470062115317
24,SHA-3-256,0.0,8501,True,1.6488313674926758,4.9375,0.0,0.00011768773031856459
24,SHA-3-512,0.0,8501,True,1.6101245880126953,5.90625,0.0,0.00011770114942528596
24,MD5,0.005714893341064453,8502,True,1.6017193794250488,4.0,0.0,0.00011766082216507109
25,SHA-256,0.0,8502,True,1.6261942386627197,4.8125,0.0,0.00011767215067918756
25,SHA-512,0.0,8501,True,2.010453462600708,5.71875,0.0,0.00011769855194000178
25,SHA-3-256,0.0,8503,True,1.58984375,4.9375,0.0,0.00011766003603338465
